# School
le livre|book
la bibliothèque|library
les devoirs|homework
l'examen|exam
la leçon|lesson
la science|science
l'histoire|history
l'art|art
l'anglais|English
le français|French
le stylo|pen
le crayon|pencil
trois pour cent|3%
premièr|first
deuxième|second (2nd)
troisième|third
quatrième|fourth
le résultat|result
le carré|square (shape)
le cercle|circle
l'aire|area
la recherche|research
# Work and money
le degré universitaire|degree
la licence|bachelor
la maîtrise|master
x est inférieur à y|x < y
x est supérieur à y|x > y
le stress|stress
l'assurance|insurance
le personnel|staff
le département|department
le salaire|salary
l'adresse|address
la lettre|letter (post)
# Jobs
le capitaine|captain
le détective|detective
le pilote|pilot
le professeur|professor
le professeur|teacher
l'avocat|lawyer
la secrétaire|secretary
l'assistant|assistant
le juge|judge
le directeur|director (business)
le supérieur|manager
le cuisinier|cook
le chauffeur de taxi|taxi driver
le chauffeur|bus driver
le criminel|criminal
le mannequin|model
l'artiste|artist
# Technology
le numéro de téléphone|telephone number
le signal|signal (of phone)
l'appli|app
le chat|chat
le fichier|file
l'URL|url
l'adresse e-mail|e-mail address
le site internet|website
l'e-mail|e-mail
le téléphone portable|mobile phone
# Law
la loi|law
la prison|prison
la preuve|evidence
l'amende|fine
le témoin|witness
le tribunal|court
la signature|signature
la perte|loss
le profit|profit
# Shopping
le client|customer
le montant|amount
la carte de crédit|credit card
le mot de passe|password
le distributeur de billets|cash machine
la piscine|swimming pool (competition)
le courant|power
l'appareil photo|camera
la radio|radio
le cadeau|present (gift)
la bouteille|bottle
le sac|bag
# Things
la clé|key
la poupée|doll
l'ange|angel
le peigne|comb
le dentifrice|toothpaste
la brosse à dents|toothbrush
le shampooing|shampoo
la crème|cream (pharmaceutical)
le mouchoir en papier|tissue
le rouge à lèvres|lipstick
la télé|TV
le cinéma|cinema
# Media
le journal|news
le siège|seat
le ticket|ticket
l'écran|screen (cinema)
la musique|music
la scène|stage
le public|audience
la peinture|painting
la blague|joke
l'article|article
le journal|newspaper
le magazine|magazine
la publicité|advertisement
# Nature
la nature|nature
la cendre|ash
le feu|fire (general)
le diamant|diamond
la lune|moon
la terre|earth
le soleil|sun
l'étoile|star
la planète|planet
l'univers|universe
la côte|coast
le lac|lake
la forêt|forest
le désert|desert (dry place)
la colline|hill
le rocher|rock (stone)
la rivière|river
la vallée|valley
la montagne|mountain
l'île|island
l'océan|ocean
la mer|sea
le temps|weather
# Weather and materials
la glace|ice
la neige|snow
la tempête|storm
la pluie|rain
le vent|wind
la plante|plant
l'arbre|tree
l'herbe|grass
la rose|rose
la fleur|flower
le gaz|gas
le métal|metal
l'or|gold
l'argent|silver
L'argent est moins cher que l'or|Silver is cheaper than gold
L'or est plus cher que l'argent|Gold is more expensive than silver
# Holidays
