# Bigger numbers
veintiuno|21
veintidós|22
veintiséis|26
treinta|30
treinta y uno|31
treinta y tres|33
treinta y siete|37
cuarenta|40
cuarenta y uno|41
cuarenta y cuatro|44
cuarenta y ocho|48
cincuenta|50
cincuenta y uno|51
cincuenta y cinco|55
cincuenta y nueve|59
sesenta|60
sesenta y uno|61
sesenta y dos|62
sesenta y seis|66
setenta|70
setenta y uno|71
setenta y tres|73
setenta y siete|77
ochenta|80
ochenta y uno|81
ochenta y cuatro|84
ochenta y ocho|88
noventa|90
noventa y uno|91
noventa y cinco|95
noventa y nueve|99
cien|100
mil|1000
diez mil|10.000
cien mil|100.000
un millón|1.000.000
# Possessives
mi perro|my dog
tu gato|your cat
su vestido|her dress
su coche|his car
su pelota|its ball
nuestra casa|our home
vuestro equipo|your team
su empresa|their company
todo el mundo|everybody
juntos|together
# Useful phrases
otro|other
no importa|doesn't matter
¡Salud!|cheers
relajarse|relax
estoy de acuerdo|I agree
bienvenido|welcome
sin preocupaciones|no worries
gira a la derecha|turn right
gira a la izquierda|turn left
ve recto|go straight
Ven conmigo|Come with me
# Food
el huevo|egg
el queso|cheese
la leche|milk
el pescado|fish (to eat)
la carne|meat
la verdura|vegetable
la fruta|fruit
el hueso|bone (food)
el aceite|oil
el pan|bread
el azúcar|sugar
el chocolate|chocolate
el caramelo|candy
el pastel|cake
# Drinks
la bebida|drink
el agua|water
la soda|soda
el café|coffee
el té|tea
la cerveza|beer
el vino|wine
la ensalada|salad
la sopa|soup
el postre|dessert
el desayuno|breakfast
el almuerzo|lunch
la cena|dinner
la pizza|pizza
# Transport
el autobús|bus
el tren|train
la estación de tren|train station
la parada de autobús|bus stop
el avión|plane
el barco|ship
el camión|lorry
la bicicleta|bicycle
la motocicleta|motorcycle
el taxi|taxi
el semáforo|traffic light
el estacionamiento|car park
la carretera|road
# Clothing
la ropa|clothing
el zapato|shoe
el abrigo|coat
el suéter|sweater
la camisa|shirt
la chaqueta|jacket
el traje|suit
los pantalones|trousers
el vestido|dress
la camiseta|T-shirt
el calcetín|sock
el sujetador|bra
los calzoncillos|underpants
