// A deck in one file: paste its address into "From a link", or the text itself
// into the settings page's box. Each line below is a card, split by a bar. A
// "# " line opens a group, which is what the watch's second menu lists. Blank
// lines and "//" lines are skipped — keep the bar out of those, or the watch
// reads one as a card.

# Greetings
hallo|hello
goedemorgen|good morning
tot ziens|goodbye
dank je wel|thank you

# At the table
het brood|the bread
de kaas|the cheese
een glas water|a glass of water
de rekening|the bill

# Notes on this file
elke regel is een kaart|every line is a card
voor de streep is de voorkant|before the bar is the front
erna de vertaling|after it, the translation
een regel met # opent een groep|a line starting with # opens a group
