# School
il libro|book
la biblioteca|library
i compiti a casa|homework
l'esame|exam
la lezione|lesson
le scienze|science
la storia|history
l'arte|art
l'Inglese|English
il Francese|French
la penna|pen
la matita|pencil
il tre percento|3%
il primo|first
il secondo|second (2nd)
il terzo|third
il quarto|fourth
il risultato|result
il quadrato|square (shape)
il cerchio|circle
l'area|area
la ricerca|research
# Work and money
la laurea|degree
la laurea triennale|bachelor
la laurea magistrale|master
x è minore di y|x < y
x è maggiore di y|x > y
lo stress|stress
l'assicurazione|insurance
il personale|staff
il reparto|department
il salario|salary
l'indirizzo|address
la lettera|letter (post)
# Jobs
il capitano|captain
l'investigatore|detective
il pilota|pilot
il professore|professor
l'insegnante|teacher
l'avvocato|lawyer
la segretaria|secretary
l'assistente|assistant
il giudice|judge
il direttore|director (business)
il dirigente|manager
il cuoco|cook
il tassista|taxi driver
l'autista di autobus|bus driver
il criminale|criminal
il modello|model
l'artista|artist
# Technology
il numero di telefono|telephone number
il segnale|signal (of phone)
l'app|app
la chat|chat
il file|file
l'url|url
l'indirizzo email|e-mail address
il sito web|website
la e-mail|e-mail
il cellulare|mobile phone
# Law
la legge|law
la prigione|prison
la prova|evidence
la multa|fine
il testimone|witness
la corte|court
la firma|signature
la perdita|loss
il profitto|profit
# Shopping
il cliente|customer
l'importo|amount
la carta di credito|credit card
la password|password
il bancomat|cash machine
la piscina|swimming pool (competition)
la corrente|power
la macchina fotografica|camera
la radio|radio
il regalo|present (gift)
la bottiglia|bottle
la busta|bag
# Things
la chiave|key
la bambola|doll
l'angelo|angel
il pettine|comb
il dentifricio|toothpaste
lo spazzolino|toothbrush
lo shampoo|shampoo
la pomata|cream (pharmaceutical)
il fazzoletto|tissue
il rossetto|lipstick
la televisione|TV
il cinema|cinema
# Media
il telegiornale|news
il sedile|seat
il biglietto|ticket
lo schermo|screen (cinema)
la musica|music
il palco|stage
il pubblico|audience
il dipinto|painting
la barzelletta|joke
l'articolo|article
il giornale|newspaper
la rivista|magazine
la pubblicità|advertisement
# Nature
la natura|nature
la cenere|ash
il fuoco|fire (general)
il diamante|diamond
la luna|moon
la Terra|earth
il sole|sun
la stella|star
il pianeta|planet
l'universo|universe
la costa|coast
il lago|lake
la foresta|forest
il deserto|desert (dry place)
la collina|hill
la roccia|rock (stone)
il fiume|river
la valle|valley
la montagna|mountain
l'isola|island
l'oceano|ocean
il mare|sea
il tempo|weather
# Weather and materials
il ghiaccio|ice
la neve|snow
la tempesta|storm
la pioggia|rain
il vento|wind
la pianta|plant
l'albero|tree
l'erba|grass
la rosa|rose
il fiore|flower
il gas|gas
il metallo|metal
l'oro|gold
l'argento|silver
l'argento è meno costoso dell'oro|Silver is cheaper than gold
l'oro è più costoso dell'argento|Gold is more expensive than silver
# Holidays
la vacanza|holiday
il membro|member
l'albergo|hotel
la spiaggia|beach
l'ospite|guest
il compleanno|birthday
il Natale|Christmas
il Capodanno|New Year
la Pasqua|Easter
# Relatives
lo zio|uncle
la zia|aunt
la nonna paterna|grandmother (paternal)
il nonno paterno|grandfather (paternal)
la nonna materna|grandmother (maternal)
il nonno materno|grandfather (maternal)
la morte|death
la tomba|grave
il divorzio|divorce
la sposa|bride
lo sposo|groom
# Hundreds
centouno|101
centocinque|105
centodieci|110
centocinquantuno|151
duecento|200
duecentodue|202
duecentosei|206
duecentoventi|220
duecentosessantadue|262
trecento|300
trecentotré|303
trecentosette|307
trecentotrenta|330
trecentosettanta|373
quattrocento|400
quattrocentoquattro|404
quattrocentotto|408
quattrocentoquaranta|440
quattrocentottantaquattro|484
cinquecento|500
cinquecentocinque|505
cinquecentonove|509
cinquecentocinquanta|550
cinquecentonovantacinque|595
seicento|600
seicentouno|601
seicentosei|606
seicentosedici|616
seicentosessanta|660
settecento|700
settecentodue|702
settecentosette|707
settecentoventisette|727
settecentosettanta|770
ottocento|800
ottocentotré|803
ottocentootto|808
ottocentotrentotto|838
ottocentottanta|880
novecento|900
novecentoquattro|904
novecentonove|909
novecentoquarantanove|949
novecentonovanta|990
# More animals
la tigre|tiger
il topo|mouse (animal)
il ratto|rat
il coniglio|rabbit
il leone|lion
l'asino|donkey
l'elefante|elephant
l'uccello|bird
il gallo|cockerel
il piccione|pigeon
l'oca|goose
l'insetto|insect
l'insetto|bug
la zanzara|mosquito
la mosca|fly
la formica|ant
la balena|whale
lo squalo|shark
il delfino|dolphin
la lumaca|snail
la rana|frog
# Sport
spesso|often
immediatamente|immediately
