# School
das Buch|book
die Bücherei|library
die Hausaufgabe|homework
die Prüfung|exam
die Schulstunde|lesson
die Wissenschaft|science
die Geschichte|history
die Kunst|art
Englisch|English
Französisch|French
der Stift|pen
der Bleistift|pencil
drei Prozent|3%
der Erste|first
der Zweite|second (2nd)
der Dritte|third
der Vierte|fourth
das Ergebnis|result
das Quadrat|square (shape)
der Kreis|circle
die Fläche|area
die Forschung|research
# Work and money
der akademische Grad|degree
der Bachelor|bachelor
der Master|master
x ist kleiner als y|x < y
x ist größer als y|x > y
der Stress|stress
die Versicherung|insurance
die Belegschaft|staff
die Abteilung|department
das Gehalt|salary
die Adresse|address
der Brief|letter (post)
# Jobs
der Kapitän|captain
der Detektiv|detective
der Pilot|pilot
der Professor|professor
der Lehrer|teacher
der Anwalt|lawyer
die Sekretärin|secretary
der Assistent|assistant
der Richter|judge
der Direktor|director (business)
der Manager|manager
der Koch|cook
der Taxifahrer|taxi driver
der Busfahrer|bus driver
der Verbrecher|criminal
das Model|model
der Künstler|artist
# Technology
die Telefonnummer|telephone number
der Empfang|signal (of phone)
die App|app
der Chat|chat
die Datei|file
die URL|url
die E-Mail Adresse|e-mail address
die Webseite|website
die E-Mail|e-mail
das Mobiltelefon|mobile phone
# Law
das Gesetz|law
das Gefängnis|prison
der Beweis|evidence
die Strafe|fine
der Zeuge|witness
das Gericht|court
die Unterschrift|signature
der Verlust|loss
der Gewinn|profit
# Shopping
der Kunde|customer
der Betrag|amount
die Kreditkarte|credit card
das Passwort|password
der Bankomat|cash machine
das Schwimmbecken|swimming pool (competition)
der Strom|power
der Fotoapparat|camera
der Radio|radio
das Geschenk|present (gift)
die Flasche|bottle
die Tasche|bag
# Things
der Schlüssel|key
die Puppe|doll
der Engel|angel
der Kamm|comb
die Zahnpasta|toothpaste
die Zahnbürste|toothbrush
das Shampoo|shampoo
die Creme|cream (pharmaceutical)
das Taschentuch|tissue
der Lippenstift|lipstick
das Fernsehen|TV
das Kino|cinema
# Media
die Nachrichten|news
der Sitz|seat
die Eintrittskarte|ticket
die Leinwand|screen (cinema)
die Musik|music
die Bühne|stage
das Publikum|audience
das Gemälde|painting
der Witz|joke
der Artikel|article
die Zeitung|newspaper
das Magazin|magazine
die Werbung|advertisement
# Nature
die Natur|nature
die Asche|ash
das Feuer|fire (general)
der Diamant|diamond
der Mond|moon
die Erde|earth
die Sonne|sun
der Stern|star
der Planet|planet
das Universum|universe
die Küste|coast
der See|lake
der Wald|forest
die Wüste|desert (dry place)
der Hügel|hill
der Fels|rock (stone)
der Fluss|river
das Tal|valley
der Berg|mountain
die Insel|island
der Ozean|ocean
das Meer|sea
das Wetter|weather
# Weather and materials
das Eis|ice
der Schnee|snow
